Open Time,BTCUSDT_Close,BTCUSDT_Volume,ETHUSDT_Close,ETHUSDT_Volume,XRPUSDT_Close,XRPUSDT_Volume,SOLUSDT_Close,SOLUSDT_Volume,BNBUSDT_Close,BNBUSDT_Volume,USDCUSDT_Close,USDCUSDT_Volume,DOGEUSDT_Close,DOGEUSDT_Volume,ADAUSDT_Close,ADAUSDT_Volume,TRXUSDT_Close,TRXUSDT_Volume,LINKUSDT_Close,LINKUSDT_Volume,AVAXUSDT_Close,AVAXUSDT_Volume,SUIUSDT_Close,SUIUSDT_Volume,XLMUSDT_Close,XLMUSDT_Volume,TONUSDT_Close,TONUSDT_Volume,SHIBUSDT_Close,SHIBUSDT_Volume,LTCUSDT_Close,LTCUSDT_Volume,HBARUSDT_Close,HBARUSDT_Volume,DOTUSDT_Close,DOTUSDT_Volume,BCHUSDT_Close,BCHUSDT_Volume,OMUSDT_Close,OMUSDT_Volume,UNIUSDT_Close,UNIUSDT_Volume,PEPEUSDT_Close,PEPEUSDT_Volume,NEARUSDT_Close,NEARUSDT_Volume,AAVEUSDT_Close,AAVEUSDT_Volume,ICPUSDT_Close,ICPUSDT_Volume,APTUSDT_Close,APTUSDT_Volume,TAOUSDT_Close,TAOUSDT_Volume,TRUMPUSDT_Close,TRUMPUSDT_Volume,ETCUSDT_Close,ETCUSDT_Volume,VETUSDT_Close,VETUSDT_Volume,POLUSDT_Close,POLUSDT_Volume,ALGOUSDT_Close,ALGOUSDT_Volume,RENDERUSDT_Close,RENDERUSDT_Volume,JUPUSDT_Close,JUPUSDT_Volume,FILUSDT_Close,FILUSDT_Volume,ARBUSDT_Close,ARBUSDT_Volume,FDUSDUSDT_Close,FDUSDUSDT_Volume
2024-10-08,62160.49,19702.22371,2440.89,201358.3312,0.531,164201090.0,143.49,2153828.153,580.8,286276.177,1.0004,929247610.0,0.10709,680791688.0,0.3448,54948911.4,0.16,302409795.8,10.82,2511775.1,26.34,1316635.28,1.9868,147218821.7,0.09,40000318.0,5.199,5376813.67,1.725e-05,2906974095017.0,65.69,237887.624,0.0524,159126330.0,4.104,3238080.04,329.1,38980.417,1.3728,4968807.0,7.175,1597074.64,9.51e-06,28331793957112.0,4.894,9675865.2,143.15,125955.959,7.978,2033931.55,9.34,8657628.38,607.4,133535.9532,,,18.34,303611.3,0.02241,182108584.4,0.3765,32375604.7,0.1214,41250251.0,5.347,3839835.41,0.7452,19563515.5,3.629,5070462.79,0.5405,52330611.6,1.0017,974214020.0
2024-10-09,60636.02,20011.15684,2370.47,242082.2725,0.5245,169687079.0,139.33,2071518.061,570.7,324396.054,1.0007,955440185.0,0.10794,791794301.0,0.3396,69541560.1,0.1605,252248081.5,10.53,2572154.31,25.76,1612088.05,1.8755,118288209.7,0.0898,36705874.0,5.066,5216818.83,1.69e-05,2948195218189.0,64.59,300940.046,0.0502,161274112.0,4.024,3076173.21,320.6,26568.695,1.3766,10481209.0,7.293,2082923.53,9.12e-06,25503133262571.0,4.609,9417638.1,139.44,163378.505,7.823,1500194.51,8.57,4981502.26,569.8,107381.0638,,,18.12,237898.44,0.022,166234795.0,0.3669,33397789.7,0.1188,40018808.0,5.071,3753017.97,0.7268,13751065.5,3.5,3265763.78,0.5215,43129014.1,1.0009,792448950.0
2024-10-10,60326.39,23967.92481,2386.49,257862.9619,0.5305,267008101.0,139.03,2289782.907,563.9,178198.309,1.0007,745685339.0,0.10603,713401352.0,0.3396,51099496.5,0.1588,218535782.2,10.56,2311977.76,25.86,1305991.34,1.8345,109114892.5,0.0902,46281321.0,5.138,4451383.52,1.678e-05,2681988159362.0,64.32,218900.38,0.0503,154394663.0,4.073,2490257.83,323.0,28703.27,1.4358,11236663.0,8.133,14645291.69,9.3e-06,20977289858987.0,4.594,7949110.7,140.7,234816.631,8.019,2473564.06,8.11,7206400.27,563.8,123532.9425,,,18.2,264309.95,0.02198,165992800.0,0.3686,23716393.9,0.1185,38149214.0,5.09,3708307.17,0.736,15746906.9,3.539,3389386.63,0.5256,47191743.0,0.9987,489600499.0
2024-10-11,62540.0,23641.35209,2439.5,235441.2197,0.5388,196729073.0,145.53,2269088.918,573.6,185095.358,1.0002,824912425.0,0.11077,595969049.0,0.3517,49113139.9,0.1598,228010961.2,10.91,1729530.83,27.45,1356314.72,2.054,132738620.2,0.0918,29794324.0,5.209,3185622.72,1.766e-05,3577650267322.0,65.58,213209.345,0.0513,111409951.0,4.171,2347729.65,327.0,21959.354,1.4352,7297896.0,7.891,5721399.34,9.74e-06,23913837083229.0,4.737,9795820.0,143.91,94223.554,8.151,1425284.11,8.52,5230445.02,621.8,113721.0816,,,18.59,263779.5,0.02261,154057345.3,0.3735,25722729.9,0.1214,26953814.0,5.399,3301616.0,0.7857,19417945.6,3.586,3864400.4,0.5342,52541209.3,0.9986,665978444.0
2024-10-12,63206.22,10911.30116,2476.4,139637.5062,0.5393,83887179.0,146.4,1347679.548,576.6,135773.959,1.0002,264102154.0,0.11138,415506248.0,0.3532,33454950.9,0.1625,241915075.9,11.01,1409186.28,28.64,2063826.88,2.2415,130700373.5,0.092,28319237.0,5.241,3128623.26,1.785e-05,1955382916527.0,66.19,156600.646,0.0515,71536712.0,4.205,2311858.57,329.2,18798.086,1.4635,8062202.0,8.124,4555130.48,9.89e-06,21117445713540.0,4.846,8456267.1,154.73,174033.133,8.06,1025394.34,9.93,9809930.92,656.6,111494.2957,,,18.77,219405.75,0.02269,109084623.3,0.3717,25370461.0,0.1218,20386478.0,5.447,3445015.22,0.7904,11295478.2,3.612,3965780.77,0.5379,66477775.6,0.9985,216290499.0
2024-10-13,62870.02,11909.21995,2468.91,120022.8179,0.5321,94059459.0,147.74,1599054.833,572.2,118779.976,1.0003,273817001.0,0.1114,478777808.0,0.3486,50520578.7,0.1626,165020863.6,10.75,1465344.52,29.06,1605213.5,2.3438,115307630.4,0.0905,25795251.0,5.192,3798305.82,1.764e-05,1782795406926.0,64.8,169832.939,0.0512,82783396.0,4.162,1965193.65,321.3,20785.631,1.4975,8029128.0,7.682,5249093.92,9.7e-06,19072871121618.0,4.704,8045364.5,154.64,112460.164,7.921,1083050.37,10.19,13411625.91,640.5,71130.9192,,,18.55,186803.71,0.02232,152049252.1,0.3663,28000863.2,0.1208,23780532.0,5.389,2878690.26,0.7952,12701943.4,3.568,3581376.61,0.5295,75567909.3,0.9985,253422647.0
2024-10-14,66083.99,37669.95222,2629.79,435900.1619,0.5483,219397937.0,157.59,3987055.145,589.1,252803.176,1.0001,910772639.0,0.11669,1252447368.0,0.3643,90929339.3,0.1606,331255046.3,11.28,2770179.29,29.07,2007570.41,2.2501,123867777.8,0.0934,44063735.0,5.323,5758841.14,1.87e-05,4328594848779.0,66.83,392472.567,0.0534,125610654.0,4.378,4101366.34,369.6,117572.278,1.5918,13926482.96,8.135,4324023.84,1.09e-05,42374721167931.0,5.026,13263598.6,162.93,215465.312,8.335,2217812.53,10.17,7890728.83,632.7,110145.0941,,,19.5,575919.16,0.02331,239174533.0,0.3762,54927826.2,0.1268,37372884.0,5.59,5791288.43,0.8864,32300032.0,3.857,7267230.5,0.5647,95141153.9,0.9987,501392889.0
2024-10-15,67074.14,43683.95423,2607.41,416285.6663,0.5417,283568637.0,154.76,4480025.111,594.5,324305.897,1.0001,1125143758.0,0.11748,1635590225.0,0.3591,133653350.7,0.1588,280872310.2,11.45,4806201.65,28.21,2806768.34,2.0597,186775464.6,0.093,71439741.0,5.224,8979951.86,1.824e-05,5313225486291.0,70.87,1052315.145,0.0562,420074423.0,4.406,6569159.09,354.7,153079.095,1.5572,8703302.0,7.844,4523992.58,1.038e-05,46904224213435.0,5.065,20120073.0,156.79,242676.987,8.124,2977121.69,10.47,11112566.44,597.8,121882.291,,,19.36,551268.9,0.02348,320929690.6,0.3708,67512976.4,0.1259,56061050.0,5.482,6557688.16,0.8794,56752031.6,3.805,8975547.78,0.5677,109822801.5,0.9986,483350418.0
2024-10-16,67620.01,29938.25544,2611.1,260322.4242,0.5482,222285502.0,154.28,2851816.35,600.9,259951.129,1.0001,907758240.0,0.12573,3073408118.0,0.3521,72607298.7,0.1601,217182869.9,11.24,2177488.42,28.02,1952738.95,2.0828,108691392.5,0.0956,53877592.0,5.227,4632076.06,1.859e-05,5226094306874.0,70.08,659266.466,0.0535,231894145.0,4.314,3164327.04,365.6,108696.072,1.5482,3850207.0,7.571,2601137.35,1.044e-05,27037152697875.0,4.945,10887686.2,155.8,117223.022,7.892,2057266.5,10.03,6575878.26,579.6,113878.6132,,,19.38,413340.12,0.0231,237391261.9,0.3715,34210218.5,0.123,37125123.0,5.367,3739179.75,0.8553,24158055.8,3.75,3883001.75,0.5573,92491931.6,0.999,375088951.0
2024-10-17,67421.78,25328.22861,2605.8,221624.5434,0.5441,312103613.0,150.5,2664809.948,592.9,194199.416,1.0002,668566268.0,0.12967,1921830268.0,0.3432,110730558.5,0.1594,165894122.2,11.03,1843237.65,27.31,1321790.89,2.0249,85940364.8,0.095,54472067.0,5.183,5366258.69,1.821e-05,3183920867808.0,72.8,572727.857,0.0511,200056041.0,4.193,2710997.96,369.7,74433.261,1.5643,4781252.0,7.347,2413742.75,9.88e-06,24029009701626.0,4.769,9548768.2,153.14,98597.969,7.681,2008047.9,9.93,4515836.87,578.3,75777.8837,,,19.04,377651.64,0.0225,158695373.3,0.3658,29143794.7,0.1199,43688734.0,5.221,3077015.04,0.8204,19737852.1,3.642,3573886.62,0.5469,58969438.3,0.9992,385772623.0
